trialIndex,sharedPeptideCount,cortexPrivateCount,medullaPrivateCount,sharedNeoPeptideCount,cortexNeoPeptideCount,medullaNeoPeptideCount,pathogenPeptideCount,sharedPeptidePresentFrac,cortexPrivatePresentFrac,medullaPrivatePresentFrac,sharedNeoPeptidePresentFrac,cortexNeoPeptidePresentFrac,medullaNeoPeptidePresentFrac,pathogenPeptidePresentFrac,presentationRate,presentationStdErr,repertoireSize,positiveThreshold,negativeThreshold,positivePassRate,negativePassRate,netSelectionRate,meanAffinity.FP,meanAffinity.FN,meanAffinity.EX,pathogen.XX,pathogen.PX,pathogen.PR,sharedNeo.XX,sharedNeo.PX,sharedNeo.PR,medullaNeo.XX,medullaNeo.PX,medullaNeo.PR,elapsedSec
1,39000,0,42000,1000000,0,1000000,1000000,0.075,NaN,0.07435714285714286,0.075012,NaN,0.07438,0.074293,0.07460842857142856,1.377131319284372E-4,100000,31.7,33.3,0.1944,0.5262,0.1023,-18.12,-23.64,-21.74,0.925707,0.074265,0.000028,0.924988,0.074988,0.000024,0.925620,0.074365,0.000015,2504
3,39000,0,42000,1000000,0,1000000,1000000,0.09058974358974359,NaN,0.08804761904761904,0.090533,NaN,0.088274,0.089354,0.08935967252747253,4.54735932967715E-4,100000,31.7,33.3,0.1282,0.5768,0.07393,-18.38,-24.26,-22.46,0.910646,0.089188,0.000166,0.909467,0.090406,0.000127,0.911726,0.088164,0.000110,2689
4,39000,0,42000,1000000,0,1000000,1000000,0.05902564102564103,NaN,0.05785714285714286,0.058898,NaN,0.058253,0.059491,0.05870495677655678,2.450234240024441E-4,100000,31.7,33.3,0.06841,0.3706,0.02535,-18.63,-24.51,-23.07,0.940509,0.059312,0.000179,0.941102,0.058765,0.000133,0.941747,0.058073,0.000180,4005
5,39000,0,42000,1000000,0,1000000,1000000,0.12012820512820513,NaN,0.1226904761904762,0.120131,NaN,0.122254,0.120003,0.12104133626373625,4.975252547630257E-4,100000,31.7,33.3,0.2201,0.5178,0.1140,-18.02,-23.47,-21.52,0.879997,0.119985,0.000018,0.879869,0.120118,0.000013,0.877746,0.122230,0.000024,3190
6,39000,0,42000,1000000,0,1000000,1000000,0.10123076923076924,NaN,0.09983333333333333,0.100718,NaN,0.099892,0.100334,0.1004016205128205,2.2158676917011705E-4,100000,31.7,33.3,0.1102,0.3370,0.03713,-18.45,-23.92,-22.40,0.899666,0.100258,0.000076,0.899282,0.100660,0.000058,0.900108,0.099810,0.000082,5219
15,39000,0,42000,1000000,0,1000000,1000000,0.2552307692307692,NaN,0.2537857142857143,0.25567,NaN,0.25454,0.25646,0.2551372967032967,3.8847652577121054E-4,100000,31.7,33.3,0.1319,0.5619,0.07412,-18.36,-24.19,-22.40,0.743540,0.256105,0.000355,0.744330,0.255387,0.000283,0.745460,0.254322,0.000218,7300
20,39000,0,42000,1000000,0,1000000,1000000,0.09928205128205128,NaN,0.10252380952380952,0.100025,NaN,0.101857,0.10083,0.10090357216117216,4.978821440378806E-4,100000,31.7,33.3,0.1642,0.5510,0.09048,-18.24,-23.90,-22.04,0.899170,0.100762,0.000068,0.899975,0.099968,0.000057,0.898143,0.101803,0.000054,2467
36,39000,0,42000,1000000,0,1000000,1000000,0.08366666666666667,NaN,0.08592857142857142,0.084035,NaN,0.085314,0.084888,0.08476644761904763,3.4896040005044795E-4,100000,31.7,33.3,0.1876,0.5190,0.09735,-18.14,-23.66,-21.79,0.915112,0.084864,0.000024,0.915965,0.084015,0.000020,0.914686,0.085290,0.000024,2301
45,39000,0,42000,1000000,0,1000000,1000000,0.30548717948717946,NaN,0.3061904761904762,0.305682,NaN,0.304586,0.303788,0.3051467311355311,3.6116830673661515E-4,100000,31.7,33.3,0.1384,0.2862,0.03961,-18.33,-23.56,-22.04,0.696212,0.303691,0.000097,0.694318,0.305625,0.000057,0.695414,0.304545,0.000041,17843
50,39000,0,42000,1000000,0,1000000,1000000,0.11515384615384615,NaN,0.11652380952380953,0.114785,NaN,0.115816,0.113779,0.11521153113553113,3.9301304037845183E-4,100000,31.7,33.3,0.1023,0.5074,0.05192,-18.48,-24.33,-22.71,0.886221,0.113554,0.000225,0.885215,0.114590,0.000195,0.884184,0.115621,0.000195,5461
