trialIndex,sharedPeptideCount,cortexPrivateCount,medullaPrivateCount,repertoireSize,positiveThreshold,negativeThreshold,positivePassRate,negativePassRate,netSelectionRate,meanAff.FP,meanAff.FN,meanAff.EX,pathogen.coveredFrac,pathogen.reactiveFrac,sharedNeo.coveredFrac,sharedNeo.reactiveFrac,medullaNeo.coveredFrac,medullaNeo.reactiveFrac,elapsedSec
1,20787,0,9559,100000,31.6,33.2,0.1432,0.4499,0.06443,18.31,23.83,22.15,0.0007200,0.4234,0.0005900,0.9602,0.0005500,0.7544,2909
2,4593,0,518,100000,31.6,33.2,0.1523,0.5628,0.08575,18.28,24.04,22.19,0.001210,0.8862,0.001180,0.6240,0.0004700,0.3341,1811
3,39870,0,24860,100000,31.6,33.2,0.2268,0.5149,0.1168,18.00,23.42,21.45,0.0001800,0.09047,0.0002100,0.1828,0.0001700,0.2954,3289
4,43096,0,34793,100000,31.6,33.2,0.2447,0.4789,0.1172,17.93,23.24,21.28,0.0001000,0.002650,8.000e-05,0.01644,0.0001000,0.003290,3427
5,63440,0,21819,100000,31.6,33.2,0.2279,0.5086,0.1159,17.99,23.39,21.44,0.0002200,0.1373,0.0001500,0.009020,0.0001800,0.1085,4329
6,64776,0,40051,100000,31.6,33.2,0.2807,0.4778,0.1341,17.79,23.04,21.00,3.000e-05,0.001600,3.000e-05,0.002180,1.000e-05,4.000e-05,3955
7,20225,0,5496,100000,31.6,33.2,0.2786,0.4797,0.1336,17.81,23.06,21.03,9.000e-05,0.007420,4.000e-05,0.003580,2.000e-05,0.001680,5239
8,75894,0,49200,100000,31.6,33.2,0.2146,0.4399,0.09440,18.04,23.31,21.46,0.0001200,0.5622,0.0001000,0.07442,0.0001200,0.03229,5410
9,64101,0,51608,100000,31.6,33.2,0.2304,0.4892,0.1127,17.98,23.33,21.39,0.0001400,0.008930,7.000e-05,0.1059,0.0001600,0.03636,4420
10,5044,0,1792,100000,31.6,33.2,0.1127,0.5336,0.06012,18.44,24.28,22.60,0.002150,0.9793,0.001940,0.9210,0.001450,0.7956,1970
11,22431,0,10755,100000,31.6,33.2,0.2443,0.5008,0.1223,17.93,23.29,21.30,8.000e-05,0.04074,6.000e-05,0.002780,0.0001300,0.04703,6033
12,33299,0,27370,100000,31.6,33.2,0.2105,0.5111,0.1076,18.05,23.51,21.59,0.0002100,0.1502,0.0002400,0.2136,0.0002100,0.06481,2997
13,55799,0,48024,100000,31.6,33.2,0.2461,0.4821,0.1186,17.92,23.24,21.27,5.000e-05,0.001180,5.000e-05,0.01010,6.000e-05,0.2189,3829
14,4670,0,4145,100000,31.6,33.2,0.1692,0.5442,0.09208,18.21,23.84,21.98,0.0006600,0.7309,0.0006800,0.3286,0.0007700,0.3418,4166
15,8938,0,1155,100000,31.6,33.2,0.2292,0.5049,0.1157,17.98,23.39,21.43,7.000e-05,0.05112,0.0001900,0.08292,0.0001700,0.01585,1856
16,1143,0,533,100000,31.6,33.2,0.06233,0.6758,0.04212,18.66,25.26,23.54,0.01119,0.9941,0.007480,0.9694,0.004530,0.9266,2633
17,1327,0,948,100000,31.6,33.2,0.1459,0.5623,0.08202,18.31,24.08,22.25,0.001490,0.4397,0.001330,0.9990,0.0007700,0.4660,2569
