trialIndex,sharedCount,cortexCount,medullaCount,posThreshold,negThreshold,posPassRate,negPassRate,netSelectRate
1,5000,0,5000,31.6,33.2,0.1047,0.4785,0.0501
2,5000,0,5000,31.6,33.2,0.1495,0.5680,0.0849
3,5000,0,5000,31.6,33.2,0.1357,0.5312,0.0721
4,5000,0,5000,31.6,33.2,0.1498,0.5445,0.0816
5,5000,0,5000,31.6,33.2,0.2001,0.5122,0.1025
6,5000,0,5000,31.6,33.2,0.1688,0.5316,0.0898
7,5000,0,5000,31.6,33.2,0.2046,0.5123,0.1048
8,5000,0,5000,31.6,33.2,0.2028,0.5321,0.1079
9,5000,0,5000,31.6,33.2,0.2475,0.4942,0.1223
10,5000,0,5000,31.6,33.2,0.1226,0.5389,0.0661
11,5000,0,5000,31.6,33.2,0.1232,0.5565,0.0685
12,5000,0,5000,31.6,33.2,0.1977,0.5322,0.1052
13,5000,0,5000,31.6,33.2,0.2444,0.4924,0.1203
14,5000,0,5000,31.6,33.2,0.1263,0.5436,0.0687
15,5000,0,5000,31.6,33.2,0.1129,0.3430,0.0387
16,5000,0,5000,31.6,33.2,0.1051,0.4117,0.0433
17,5000,0,5000,31.6,33.2,0.1310,0.5571,0.0730
18,5000,0,5000,31.6,33.2,0.1002,0.4608,0.0462
19,5000,0,5000,31.6,33.2,0.1625,0.4234,0.0688
20,5000,0,5000,31.6,33.2,0.2310,0.5075,0.1173
21,5000,0,5000,31.6,33.2,0.1705,0.5175,0.0882
22,5000,0,5000,31.6,33.2,0.1488,0.3967,0.0590
23,5000,0,5000,31.6,33.2,0.1118,0.5080,0.0568
24,5000,0,5000,31.6,33.2,0.2038,0.5199,0.1059
25,5000,0,5000,31.6,33.2,0.1081,0.3809,0.0412
26,5000,0,5000,31.5,33.3,0.0968,0.3990,0.0386
27,5000,0,5000,31.6,33.2,0.1622,0.5015,0.0814
28,5000,0,5000,31.6,33.2,0.1401,0.5171,0.0724
29,5000,0,5000,31.6,33.2,0.2103,0.2895,0.0609
30,5000,0,5000,31.6,33.2,0.1159,0.1975,0.0229
31,5000,0,5000,31.6,33.2,0.1270,0.4107,0.0522
32,5000,0,5000,31.6,33.2,0.1469,0.5044,0.0741
33,5000,0,5000,31.6,33.2,0.1639,0.5557,0.0911
34,5000,0,5000,31.6,33.2,0.2879,0.4765,0.1372
35,5000,0,5000,31.6,33.2,0.2775,0.4826,0.1339
36,5000,0,5000,31.6,33.2,0.1216,0.4671,0.0568
37,5000,0,5000,31.6,33.2,0.1180,0.4115,0.0486
38,5000,0,5000,31.6,33.2,0.2043,0.5119,0.1046
39,5000,0,5000,31.6,33.2,0.1513,0.4846,0.0733
40,5000,0,5000,31.6,33.2,0.1263,0.3941,0.0498
41,5000,0,5000,31.6,33.2,0.1096,0.4053,0.0444
42,5000,0,5000,31.6,33.2,0.1215,0.6028,0.0732
43,5000,0,5000,31.6,33.2,0.1272,0.3498,0.0445
44,5000,0,5000,31.6,33.2,0.1502,0.5624,0.0845
45,5000,0,5000,31.6,33.2,0.1975,0.5151,0.1017
46,5000,0,5000,31.6,33.2,0.1995,0.5160,0.1029
47,5000,0,5000,31.6,33.2,0.2414,0.4999,0.1206
48,5000,0,5000,31.6,33.2,0.1127,0.3985,0.0449
49,5000,0,5000,31.6,33.2,0.1130,0.4184,0.0473
50,5000,0,5000,31.6,33.2,0.1043,0.2553,0.0266
51,5000,0,5000,31.6,33.2,0.1799,0.5372,0.0966
52,5000,0,5000,31.6,33.2,0.1705,0.5080,0.0866
53,5000,0,5000,31.6,33.2,0.1141,0.2834,0.0323
54,5000,0,5000,31.6,33.2,0.1339,0.5339,0.0715
55,5000,0,5000,31.6,33.2,0.1173,0.5445,0.0639
56,5000,0,5000,31.6,33.2,0.1648,0.4836,0.0797
57,5000,0,5000,31.5,33.3,0.1243,0.5894,0.0732
58,5000,0,5000,31.6,33.2,0.1539,0.3916,0.0603
59,5000,0,5000,31.5,33.3,0.1238,0.4608,0.0570
60,5000,0,5000,31.6,33.2,0.1312,0.5709,0.0749
61,5000,0,5000,31.6,33.2,0.1274,0.5790,0.0738
62,5000,0,5000,31.6,33.2,0.1736,0.5244,0.0910
63,5000,0,5000,31.6,33.2,0.1692,0.5386,0.0911
64,5000,0,5000,31.6,33.2,0.1577,0.5456,0.0860
65,5000,0,5000,31.6,33.2,0.1684,0.5522,0.0930
66,5000,0,5000,31.6,33.2,0.1573,0.4054,0.0638
67,5000,0,5000,31.6,33.2,0.1080,0.3530,0.0381
68,5000,0,5000,31.6,33.2,0.1327,0.2886,0.0383
69,5000,0,5000,31.6,33.2,0.2301,0.4892,0.1126
70,5000,0,5000,31.6,33.2,0.2440,0.4919,0.1200
71,5000,0,5000,31.6,33.2,0.1810,0.5057,0.0915
72,5000,0,5000,31.5,33.3,0.1824,0.5912,0.1078
73,5000,0,5000,31.6,33.2,0.1209,0.5875,0.0710
74,5000,0,5000,31.6,33.2,0.1403,0.3414,0.0479
75,5000,0,5000,31.6,33.2,0.1367,0.4044,0.0553
76,5000,0,5000,31.6,33.2,0.1629,0.4265,0.0695
77,5000,0,5000,31.6,33.2,0.1521,0.3366,0.0512
78,5000,0,5000,31.6,33.2,0.1769,0.3380,0.0598
79,5000,0,5000,31.6,33.2,0.1735,0.5031,0.0873
80,5000,0,5000,31.6,33.2,0.1561,0.2946,0.0460
81,5000,0,5000,31.6,33.2,0.0952,0.2274,0.0217
82,5000,0,5000,31.6,33.2,0.1598,0.5039,0.0805
83,5000,0,5000,31.6,33.2,0.1399,0.5054,0.0707
84,5000,0,5000,31.6,33.2,0.1197,0.2676,0.0320
85,5000,0,5000,31.6,33.2,0.3188,0.4644,0.1480
86,5000,0,5000,31.5,33.3,0.1740,0.5472,0.0952
87,5000,0,5000,31.6,33.2,0.1992,0.5252,0.1046
88,5000,0,5000,31.6,33.2,0.1263,0.3921,0.0495
89,5000,0,5000,31.6,33.2,0.1708,0.5221,0.0891
90,5000,0,5000,31.6,33.2,0.2451,0.4973,0.1219
91,5000,0,5000,31.6,33.2,0.1984,0.5143,0.1020
92,5000,0,5000,31.5,33.3,0.1168,0.2482,0.0290
93,5000,0,5000,31.6,33.2,0.1597,0.4838,0.0772
94,5000,0,5000,31.6,33.2,0.1966,0.4196,0.0825
95,5000,0,5000,31.6,33.2,0.1291,0.2936,0.0379
96,5000,0,5000,31.6,33.2,0.1237,0.4749,0.0587
97,5000,0,5000,31.6,33.2,0.0991,0.2661,0.0264
98,5000,0,5000,31.6,33.2,0.1643,0.4195,0.0689
99,5000,0,5000,31.6,33.2,0.1225,0.5579,0.0684
100,5000,0,5000,31.6,33.2,0.1985,0.5102,0.1013
101,5000,0,5000,31.6,33.2,0.1238,0.5901,0.0730
102,5000,0,5000,31.6,33.2,0.2478,0.4970,0.1232
103,5000,0,5000,31.6,33.2,0.1208,0.4820,0.0582
104,5000,0,5000,31.6,33.2,0.1684,0.5435,0.0915
105,5000,0,5000,31.6,33.2,0.1217,0.2737,0.0333
106,5000,0,5000,31.6,33.2,0.1600,0.5598,0.0895
107,5000,0,5000,31.6,33.2,0.1204,0.3907,0.0470
108,5000,0,5000,31.6,33.2,0.1487,0.1853,0.0275
109,5000,0,5000,31.6,33.2,0.1393,0.5724,0.0797
110,5000,0,5000,31.6,33.2,0.1394,0.3156,0.0440
111,5000,0,5000,31.6,33.2,0.1579,0.5322,0.0840
112,5000,0,5000,31.6,33.2,0.1752,0.4200,0.0736
