Sample,rate.50,rate.100,rate.200,rate.500
CR04885,0.04540037,0.10234298,0.21425699,0.48564332
CR1509,0.71849987,0.95528897,0.99790996,1.00000000
CR6126,0.07925496,0.13948105,0.22080580,0.35582350
CR6161,0.72134557,0.95755562,0.99875468,1.00000000
CR7623,0.02552853,0.04925374,0.08815753,0.17096128
CRNR0244,0.06379073,0.12483308,0.23597363,0.49016049
CRNR2472,0.36780774,0.56939687,0.73744709,0.87162509
LSD0167,0.03908850,0.09137609,0.19793121,0.46623639
LSD3484,0.06215819,0.10197435,0.15520425,0.25562764
LSD4744,0.72690864,0.96206504,0.99899101,1.00000000
LSDNR1120,0.04199058,0.09630091,0.20462254,0.47179788
LSDNR9298,0.06237153,0.10307090,0.15748931,0.26351372
NR2137,0.72675925,0.96196083,0.99898678,1.00000000
NR3549,0.01751966,0.05446606,0.14133961,0.37797201
NR4018,0.72057053,0.95763780,0.99878577,1.00000000
NR4045,0.72562782,0.96138063,0.99898132,1.00000000
NR4631,0.05251423,0.11440615,0.23129650,0.50918664
NR6689,0.03539632,0.07057005,0.12902390,0.25708841
NR6842,0.32715524,0.51500779,0.68141922,0.82838180
NR9341,0.01566040,0.05362223,0.14912969,0.41369600
NR9449,0.06451803,0.10621573,0.16235221,0.26937769
NR9705,0.34277441,0.53823559,0.70985670,0.86101063
NR9765,0.05600453,0.11526593,0.22694044,0.49199271
PR4077,0.02908463,0.05714212,0.10431842,0.21201069
SD0346,0.02154902,0.06439031,0.16616630,0.43681740
SD5038,0.72121045,0.95791412,0.99876595,1.00000000
SD5118,0.01380686,0.04654642,0.12740643,0.35715346
SD6494,0.00958116,0.02323511,0.05561758,0.15512674
Pat02,0.04379628,0.09908716,0.20858434,0.47801215
Pat07,0.03791744,0.08839950,0.19191618,0.45654988
Pat08,0.71947398,0.95528245,0.99790987,1.00000000
Pat105,0.08036701,0.13611064,0.21363036,0.36104313
Pat113,0.02856062,0.05962448,0.11829934,0.26548837
Pat115,0.33541383,0.53641817,0.72157441,0.89033660
Pat131,0.03437491,0.06842795,0.12503092,0.24899057
Pat132,0.02823824,0.05680053,0.10582455,0.22013214
Pat135,0.04485601,0.10170711,0.21366886,0.48572286
Pat138,0.05840347,0.09658542,0.15069730,0.27258427
Pat14,0.02011309,0.04132150,0.07839025,0.16351323
Pat160,0.32688720,0.51443833,0.68052703,0.82722183
Pat162,0.03791744,0.08839950,0.19191618,0.45654988
Pat165,0.37345960,0.57614818,0.74415119,0.87677470
Pat168,0.34698752,0.54414386,0.71658344,0.86656075
Pat170,0.05855982,0.09551177,0.14431444,0.23739635
Pat19,0.32936436,0.51845898,0.68620108,0.83484613
Pat21,0.02830456,0.05707148,0.10602759,0.21711203
Pat24,0.05719779,0.12200332,0.24160646,0.51990240
Pat29,0.72611633,0.96157494,0.99898035,1.00000000
Pat32,0.71838245,0.95538824,0.99790882,1.00000000
Pat36,0.36519775,0.56550377,0.73327071,0.86830577
Pat37,0.02781077,0.05807968,0.11586269,0.26290657
Pat39,0.06082364,0.12126703,0.21104362,0.37200861
